"AU","Австралия","","AUS","Океания","036","12722"
"AT","Австрия","Австрийская Республика","AUT","Европа","040","2440"
"AZ","Азербайджан","Республика Азербайджан","AZE","Азия","031","7973"
"AL","Албания","Республика Албания","ALB","Европа","008","2593"
"DZ","Алжир","Алжирская Народная Демократическая Республика","DZA","Африка","012","12797"
"AS","Американское Самоа","","ASM","Океания","016","0"
"AI","Ангилья","","AIA","Америка","660","8472"
"AO","Ангола","Республика Ангола","AGO","Африка","024","12815"
"AD","Андорра","Княжество Андорра","AND","Европа","020","2595"
"AQ","Антарктида","","ATA","Антарктика","010","0"
"AG","Антигуа и Барбуда","","ATG","Америка","028","501130"
"AR","Аргентина","Аргентинская Республика","ARG","Америка","032","13798"
"AM","Армения","Республика Армения","ARM","Азия","051","7997"
"AW","Аруба","","ABW","Америка","533","8474"
"AF","Афганистан","Переходное Исламское Государство Афганистан","AFG","Азия","004","12378"
"BS","Багамы","Содружество Багамы","BHS","Америка","044","0"
"BD","Бангладеш","Народная Республика Бангладеш","BGD","Азия","050","11359"
"BB","Барбадос","","BRB","Америка","052","8479"
"BH","Бахрейн","Королевство Бахрейн","BHR","Азия","048","12384"
"BY","Беларусь","Республика Беларусь","BLR","Европа","112","0"
"BZ","Белиз","","BLZ","Америка","084","8483"
"BE","Бельгия","Королевство Бельгии","BEL","Европа","056","2618"
"BJ","Бенин","Республика Бенин","BEN","Африка","204","12828"
"BM","Бермуды","","BMU","Америка","060","0"
"BG","Болгария","Республика Болгария","BGR","Европа","100","2768"
"BO","Боливия","Республика Боливия","BOL","Америка","068","995073"
"BA","Босния и Герцеговина","","BIH","Европа","070","0"
"BW","Ботсвана","Республика Ботсвана","BWA","Африка","072","12829"
"BR","Бразилия","Федеративная Республика Бразилия","BRA","Америка","076","13871"
"IO","Британская территория в Индийском океане","","IOT","Океания","086","0"
"BN","Бруней-Даруссалам","","BRN","Азия","096","11375"
"BF","Буркина-Фасо","","BFA","Африка","854","12838"
"BI","Бурунди","Республика Бурунди","BDI","Африка","108","12839"
"BT","Бутан","Королевство Бутан","BTN","Азия","064","11378"
"VU","Вануату","Республика Вануату","VUT","Океания","548","12738"
"HU","Венгрия","Венгерская Республика","HUN","Европа","348","3298"
"VE","Венесуэла","Боливарийская Республика Венесуэла","VEN","Америка","862","14065"
"VG","Виргинские острова, Британские","Британские Виргинские острова","VGB","Америка","092","0"
"VI","Виргинские острова, США","Виргинские острова Соединенных Штатов","VIR","Америка","850","0"
"VN","Вьетнам","Социалистическая Республика Вьетнам","VNM","Азия","704","11395"
"GA","Габон","Габонская Республика","GAB","Африка","266","12840"
"HT","Гаити","Республика Гаити","HTI","Америка","332","8495"
"GY","Гайана","Республика Гайана","GUY","Америка","328","14087"
"GM","Гамбия","Республика Гамбия","GMB","Африка","270","12846"
"GH","Гана","Республика Гана","GHA","Африка","288","12850"
"GP","Гваделупа","","GLP","Америка","312","8497"
"GT","Гватемала","Республика Гватемала","GTM","Америка","320","8499"
"GN","Гвинея","Гвинейская Республика","GIN","Африка","324","12859"
"GW","Гвинея-Бисау","Республика Гвинея-Бисау","GNB","Африка","624","0"
"DE","Германия","Федеративная Республика Германия","DEU","Европа","276","3416"
"GG","Гернси","","GGY","Европа","831","16844"
"GI","Гибралтар","","GIB","Европа","292","4285"
"HN","Гондурас","Республика Гондурас","HND","Америка","340","8511"
"HK","Гонконг","Специальный  административный  регион Китая Гонконг","HKG","Азия","344","0"
"GD","Гренада","","GRD","Америка","308","8514"
"GL","Гренландия","","GRL","Америка","304","0"
"GR","Греция","Греческая Республика","GRC","Европа","300","4324"
"GE","Грузия","","GEO","Азия","268","12392"
"GU","Гуам","","GUM","Океания","316","16842"
"DK","Дания","Королевство Дания","DNK","Европа","208","4404"
"JE","Джерси","","JEY","Европа","832","16845"
"DJ","Джибути","Республика Джибути","DJI","Африка","262","12866"
"DM","Доминика","Содружество Доминики","DMA","Америка","212","8515"
"DO","Доминиканская Республика","","DOM","Америка","214","0"
"EG","Египет","Арабская Республика Египет","EGY","Африка","818","12882"
"ZM","Замбия","Республика Замбия","ZMB","Африка","894","12909"
"EH","Западная Сахара","","ESH","Африка","732","0"
"ZW","Зимбабве","Республика Зимбабве","ZWE","Африка","716","12924"
"IL","Израиль","Государство Израиль","ISR","Азия","376","12395"
"IN","Индия","Республика Индия","IND","Азия","356","1563354"
"ID","Индонезия","Республика Индонезия","IDN","Азия","360","11581"
"JO","Иордания","Иорданское Хашимитское Королевство","JOR","Азия","400","12408"
"IQ","Ирак","Республика Ирак","IRQ","Азия","368","12416"
"IR","Иран","Исламская Республика Иран","IRN","Азия","364","0"
"IE","Ирландия","","IRL","Европа","372","4464"
"IS","Исландия","Республика Исландия","ISL","Европа","352","4511"
"ES","Испания","Королевство Испания","ESP","Европа","724","4568"
"IT","Италия","Итальянская Республика","ITA","Европа","380","6040"
"YE","Йемен","Йеменская Республика","YEM","Азия","887","12496"
"CV","Кабо-Верде","Республика Кабо-Верде","CPV","Африка","132","12928"
"KZ","Казахстан","Республика Казахстан","KAZ","Азия","398","5988"
"KH","Камбоджа","Королевство Камбоджа","KHM","Азия","116","11643"
"CM","Камерун","Республика Камерун","CMR","Африка","120","12938"
"CA","Канада","","CAN","Америка","124","8561"
"QA","Катар","Государство Катар","QAT","Азия","634","12500"
"KE","Кения","Республика Кения","KEN","Африка","404","12945"
"CY","Кипр","Республика Кипр","CYP","Азия","196","6093"
"KG","Киргизия","Киргизская Республика","KGZ","Азия","417","901150"
"KI","Кирибати","Республика Кирибати","KIR","Океания","296","16846"
"CN","Китай","Китайская Народная Республика","CHN","Азия","156","11803"
"CC","Кокосовые (Килинг) острова","","CCK","Океания","166","0"
"CO","Колумбия","Республика Колумбия","COL","Америка","170","14095"
"KM","Коморы","Союз Коморы","COM","Африка","174","16847"
"CG","Конго","Республика Конго","COG","Африка","178","12973"
"CD","Конго, Демократическая Республика","Демократическая Республика Конго","COD","Африка","180","16857"
"RK","Косово","Республика Косово","","Европа","","9039"
"CR","Коста-Рика","Республика Коста-Рика","CRI","Америка","188","8595"
"CI","Кот д\'Ивуар","Республика Кот д\'Ивуар","CIV","Африка","384","12991"
"CU","Куба","Республика Куба","CUB","Америка","192","8600"
"KW","Кувейт","Государство Кувейт","KWT","Азия","414","12505"
"LA","Лаос","Лаосская Народно-Демократическая Республика","LAO","Азия","418","12062"
"LV","Латвия","Латвийская Республика","LVA","Европа","428","6117"
"LS","Лесото","Королевство Лесото","LSO","Африка","426","12993"
"LB","Ливан","Ливанская Республика","LBN","Азия","422","12506"
"LY","Ливия","Государство Ливия","LBY","Африка","434","13001"
"LR","Либерия","Республика Либерия","LBR","Африка","430","12996"
"LI","Лихтенштейн","Княжество Лихтенштейн","LIE","Европа","438","6186"
"LT","Литва","Литовская Республика","LTU","Европа","440","6130"
"LU","Люксембург","Великое Герцогство Люксембург","LUX","Европа","442","6190"
"MU","Маврикий","Республика Маврикий","MUS","Африка","480","13005"
"MR","Мавритания","Исламская Республика Мавритания","MRT","Африка","478","13011"
"MG","Мадагаскар","Республика Мадагаскар","MDG","Африка","450","13013"
"YT","Майотта","","MYT","Африка","175","16870"
"MO","Макао","Специальный административный регион Китая Макао","MAC","Азия","446","0"
"MW","Малави","Республика Малави","MWI","Африка","454","13022"
"MY","Малайзия","","MYS","Азия","458","12076"
"ML","Мали","Республика Мали","MLI","Африка","466","13024"
"UM","Малые Тихоокеанские отдаленные острова Соединенных Штатов","","UMI","Океания","581","0"
"MV","Мальдивы","Мальдивская Республика","MDV","Азия","462","12097"
"MT","Мальта","Республика Мальта","MLT","Европа","470","6195"
"MA","Марокко","Королевство Марокко","MAR","Африка","504","13040"
"MQ","Мартиника","","MTQ","Америка","474","8616"
"MH","Маршалловы острова","Республика Маршалловы острова","MHL","Океания","584","0"
"MX","Мексика","Мексиканские Соединенные Штаты","MEX","Америка","484","8649"
"FM","Микронезия, Федеративные Штаты","Федеративные штаты Микронезии","FSM","Океания","583","12750"
"MZ","Мозамбик","Республика Мозамбик","MOZ","Африка","508","13059"
"MD","Молдова, Республика","Республика Молдова","MDA","Европа","498","13350"
"MC","Монако","Княжество Монако","MCO","Европа","492","6214"
"MN","Монголия","","MNG","Азия","496","12103"
"MS","Монтсеррат","","MSR","Америка","500","8700"
"MM","Мьянма","Союз Мьянма","MMR","Азия","104","16871"
"NA","Намибия","Республика Намибия","NAM","Африка","516","13068"
"NR","Науру","Республика Науру","NRU","Океания","520","0"
"NP","Непал","Федеративная Демократическая Республика Непал","NPL","Азия","524","12131"
"NE","Нигер","Республика Нигер","NER","Африка","562","13088"
"NG","Нигерия","Федеративная Республика Нигерия","NGA","Африка","566","16872"
"AN","Нидерландские Антилы","Нидерландские Антильские острова","ANT","Америка","530","0"
"NL","Нидерланды","Королевство Нидерландов","NLD","Европа","528","6224"
"NI","Никарагуа","Республика Никарагуа","NIC","Америка","558","8706"
"NU","Ниуэ","Республика Ниуэ","NIU","Океания","570","16876"
"NZ","Новая Зеландия","","NZL","Океания","554","0"
"NC","Новая Каледония","","NCL","Океания","540","0"
"NO","Норвегия","Королевство Норвегия","NOR","Европа","578","6456"
"AE","Объединенные Арабские Эмираты","","ARE","Азия","784","12507"
"OM","Оман","Султанат Оман","OMN","Азия","512","12516"
"BV","Остров Буве","","BVT","","074","0"
"CP","Остров Клиппертон","","","Америка","","0"
"IM","Остров Мэн","","IMN","Европа","833","0"
"NF","Остров Норфолк","","NFK","Океания","574","0"
"CX","Остров Рождества","","CXR","Азия","162","0"
"MF","Остров Святого Мартина","","MAF","Америка","663","0"
"HM","Остров Херд и острова Макдональд","","HMD","","334","0"
"KY","Острова Кайман","","CYM","Америка","136","0"
"CK","Острова Кука","","COK","Океания","184","0"
"TC","Острова Теркс и Кайкос","","TCA","Америка","796","0"
"PK","Пакистан","Исламская Республика Пакистан","PAK","Азия","586","12543"
"PW","Палау","Республика Палау","PLW","Океания","585","12777"
"PS","Палестина","Государство Палестина, Оккупированная Палестинская территория, Палестинская автономия","PLE","Азия","275","17862"
"PA","Панама","Республика Панама","PAN","Америка","591","8716"
"VA","Папский Престол (Государство - город Ватикан)","Папский Престол (Государство - город Ватикан)","VAT","Европа","336","2774"
